Rank,Name,Earnings (Category, Country)
1,Fan Bingbing,300 million yuan,Actress,China
2,Lu Han,210 million yuan,Actor and Singer,China
3,Yang Mi,200 million yuan,Actress,China
4,Zhao Liying,190 million yuan,Actress,China
5,Yang Yang,240 million yuan,Actor,China
6,Liu Tao,180 million yuan,Actress,China
7,Jackie Chan,330 million yuan,Actor and Director,China
8,Angelababy,200 million yuan,Actress,China
9,Jay Chou,260 million yuan,Singer and Actor,Taiwan
10,Kris Wu,150 million yuan,Actor and Singer,China
11,Li Yifeng,100 million yuan,Actor and Singer,China
12,Deng Chao,150 million yuan,Actor,China
13,Sun Li,150 million yuan,Actress,China
14,Tang Yan,120 million yuan,Actress,China
15,Chen Kun,180 million yuan,Actor,China
16,Huang Xiaoming,170 million yuan,Actor,China
17,TFBOYS,100 million yuan,Musical Group,China
18,Hu Ge,55 million yuan,Actor,China
19,Liu Shishi,85 million yuan,Actress,China
20,Zhang Yixing,120 million yuan,Singer and Actor,China
21,William Chan,120 million yuan,Actor and Singer,China
22,Wallace Huo,75 million yuan,Actor,China
23,Liu Yifei,40 million yuan,Actress,China
24,Jing Boran,130 million yuan,Actor and Singer,China
25,Huang Zitao,90 million yuan,Singer,China
26,Wu Xiubo,100 million yuan,Actor,China
27,Andy Lau,140 million yuan,Actor and Singer,China
28,Zhao Wei,40 million yuan,Actress,China
29,Li Bingbing,85 million yuan,Actress,China
30,Huang Bo,130 million yuan,Actor,China
31,Wallace Chung,150 million yuan,Actor,China
32,Lin Chi-Ling,145 million yuan,Actress,Taiwan
33,Jia Nailiang,140 million yuan,Actor,China
34,Chris Lee,95 million yuan,Singer,China
35,Jing Tian,50 million yuan,Actress,China
36,Mark Chao,60 million yuan,Actor,China
37,Dilraba,55 million yuan,Actress,China
38,Tong Liya,80 million yuan,Actress,China
39,Zheng Shuang,70 million yuan,Actress,China
40,Chen Xuedong,75 million yuan,Actor,China
41,He Jiong,55 million yuan,TV Host,China
42,Wang Kai,70 million yuan,Actor,China
43,Lin Gengxin,100 million yuan,Actor,China
44,Xue Zhiqian,80 million yuan,Singer,China
45,Faye Wong,90 million yuan,Singer,China
46,Eddie Peng,75 million yuan,Actor,China
47,Lu Yi,100 million yuan,Actor,China
48,Shu Qi,45 million yuan,Actress,China
49,Nicky Wu,110 million yuan,Actor,China
50,Jin Dong,85 million yuan,Actor,China
51,Joe Chen,85 million yuan,Actress,China
52,Liu Wen,50 million yuan,Super Model,China
53,Guo Degang,85 million yuan,Crosstalk Actor,China
54,Chen He,80 million yuan,Actor,China
55,Li Chen,70 million yuan,Actor,China
56,Jiang Xin,70 million yuan,Actress,China
57,Jacky Cheung,120 million yuan,Singer,China
58,Eason Chan,90 million yuan,Singer and Actor,Hong Kong
59,Donnie Yen,90 million yuan,Actor,China
60,Zhou Xun,95 million yuan,Actress,China
61,Louis Koo,110 million yuan,Actor,Hong Kong
62,Huang Lei,90 million yuan,Actor,China
63,Wu Lei,80 million yuan,Actor,China
64,Sun Honglei,85 million yuan,Actor,China
65,Show Lo,80 million yuan,Singer and Actor,Taiwan
66,Tony Leung,80 million yuan,Actor,Hong Kong
67,Zheng Kai,90 million yuan,Actor,China
68,Ruby Lin,40 million yuan,Actress,Taiwan
69,Sun Yang,60 million yuan,Athlete,China
70,Zhang Yishan,85 million yuan,Actor,China
71,Zhou Dongyu,45 million yuan,Actress,China
72,Ni Ni,50 million yuan,Actress,China
73,Yang Zi,50 million yuan,Actress,China
74,Song Qian,50 million yuan,Actress,China
75,Xie Na,40 million yuan,TV Host and Actress,China
76,Hawick Lau,75 million yuan,Actor,China
77,Mayday,95 million yuan,Musical Group,Taiwan
78,Huang Xuan,50 million yuan,Actor,China
79,Ma Sichun,40 million yuan,Actress,China
80,Guan Xiaotong,70 million yuan,Actress,China
