Rank,Name,Earnings, Occupation, Country
1,Diddy,$130 million,Musician,U.S.
2,Beyoncé,$105 million,Musician,U.S.
3,J.K. Rowling,$95 million,Author,U.K.
4,Drake,$94 million,Musician,Canada
6,The Weeknd,$92 million,Musician,Canada
7,Howard Stern,$90 million,Personality,U.S.
9,James Patterson,$87 million,Author,U.S.
10,LeBron James,$86 million,Athlete,U.S.
11,Rush Limbaugh,$84 million,Personality,U.S.
13,Justin Bieber,$83.5 million,Musician,Canada
15,Dr. Phil McGraw,$79 million,Personality,U.S.
16,Ellen DeGeneres,$77 million,Personality,U.S.
17,Bruce Springsteen,$75 million,Musician,U.S.
18,Adele,$69 million,Musician,U.K.
18,Jerry Seinfeld,$69 million,Comedian,U.S.
20,Mark Wahlberg,$68 million,Actor,U.S.
22,Dwayne 'The Rock' Johnson,$65 million,Actor,U.S.
24,David Copperfield,$61.5 million,Magician,U.S.
25,Kevin Durant,$60.6 million,Athlete,U.S.
26,Garth Brooks,$60 million,Musician,U.S.
26,Elton John,$60 million,Musician,U.K.
26,Gordon Ramsay,$60 million,Personality,U.K.
29,Ryan Seacrest,$58 million,Personality,U.S.
30,Chris Rock,$57 million,Comedian,U.S.
31,Vin Diesel,$54.5 million,Actor,U.S.
32,Paul McCartney,$54 million,Musician,U.K.
34,Louis C.K.,$52 million,Comedian,U.S.
35,Jimmy Buffett,$50.5 million,Musician,U.S.
35,Adam Sandler,$50.5 million,Actor,U.S.
37,Andrew Luck,$50 million,Athlete,U.S.
37,Rory McIlroy,$50 million,Athlete,U.S.
40,Calvin Harris,$48.5 million,Musician,U.K.
41,Robert Downey, Jr.,$48 million,Actor,U.S.
42,Steph Curry,$47.3 million,Athlete,U.S.
43,Dave Chappelle,$47 million,Comedian,U.S.
43,Judy Sheindlin,$47 million,Personality,U.S.
45,James Harden,$46.6 million,Athlete,U.S.
46,Lewis Hamilton,$46 million,Athlete,U.K.
47,Kim Kardashian West,$45.5 million,Personality,U.S.
48,Drew Brees,$45.3 million,Athlete,U.S.
49,Taylor Swift,$44 million,Musician,U.S.
50,Simon Cowell,$43.5 million,Personality,U.K.
50,Phil Mickelson,$43.5 million,Athlete,U.S.
52,Tom Cruise,$43 million,Actor,U.S.
53,Kenny Chesney,$42.5 million,Musician,U.S.
53,Steve Harvey,$42.5 million,Personality,U.S.
55,Luke Bryan,$42 million,Musician,U.S.
55,Celine Dion,$42 million,Musician,Canada
55,Jay Z,$42 million,Musician,U.S.
59,Kylie Jenner,$41 million,Personality,U.S.
60,Bruno Mars,$39 million,Musician,U.S.
62,Russell Westbrook,$38.6 million,Athlete,U.S.
64,Damian Lillard,$38.4 million,Athlete,U.S.
65,Jennifer Lopez,$38 million,Musician,U.S.
65,The Chainsmokers,$38 million,Musician,U.S.
69,Amy Schumer,$37.5 million,Comedian,U.S.
70,Tiger Woods,$37.1 million,Athlete,U.S.
71,Bill O’Reilly,$37 million,Personality,U.S.
71,Dolly Parton,$37 million,Musician,U.S.
71,Ed Sheeran,$37 million,Musician,U.K.
76,Dwayne Wade,$36.2 million,Athlete,U.S.
77,Sean Hannity,$36 million,Personality,U.S.
77,Rihanna,$36 million,Musician,Barbados
80,Bon Jovi,$35.5 million,Musician,U.S.
82,Billy Joel,$35 million,Musician,U.S.
83,Dr. Dre,$34.5 million,Musician,U.S.
83,Florida Georgia Line,$34.5 million,Musician,U.S.
83,Toby Keith,$34.5 million,Musician,U.S.
83,Jordan Spieth,$34.5 million,Athlete,U.S.
87,Derrick Rose,$34.2 million,Athlete,U.S.
89,Gareth Bale,$34 million,Athlete,U.K.
89,Conor McGregor,$34 million,Athlete,Ireland
89,Britney Spears,$34 million,Musician,U.S.
93,Fletcher Cox,$33.4 million,Athlete,U.S.
94,Clayton Kershaw,$33.4 million,Athlete,U.S.
95,Chance The Rapper,$33 million,Musician,U.S.
95,Katy Perry,$33 million,Musician,U.S.
97,Carmelo Anthony,$32.6 million,Athlete,U.S.
98,Jason Aldean,$32.5 million,Musician,U.S.
98,Kevin Hart,$32.5 million,Comedian,U.S.
